"ID","Функциональная зона","Приоритет","История","Бизнес-ценность","Статус Product Owner","Статус оценки команды","Источник"
"DC-ST-23","Запуск другим агентом","P1","Как вызывающий агент, я хочу передавать в DataCanvas запрос на подготовку презентации, чтобы DataCanvas мог принять задачу от другого агента и начать обработку по проверяемому входу.","Это позволит быстро запускать подготовку презентации из агентского сценария без ручного переноса контекста.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-24","Запуск другим агентом","P1","Как пользователь, я хочу, чтобы DataCanvas мог запускаться в составе общего сценария с другими агентами, чтобы подготовка презентации начиналась из уже собранного контекста без повторного ввода данных.","Это позволит использовать DataCanvas как часть сквозного сценария подготовки материалов.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-25","Входной контекст","P1","Как вызывающий агент, я хочу передавать DataCanvas входной пакет с задачей, источником запроса, параметрами презентации и данными для определения получателя результата, чтобы DataCanvas получил полный контекст запуска в проверяемом формате.","Это снижает риск неполного или неоднозначного запуска презентации и ошибочной доставки результата.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-26","Проверка входа","P1","Как DataCanvas, я хочу проверять входной пакет от другого агента на достаточность, безопасность и отделение данных от инструкций, чтобы не начинать генерацию по неполному или недоверенному входу.","Это защищает результат от неполных данных и от исполнения чужих инструкций как правил DataCanvas.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-27","Статусы обработки","P1","Как вызывающий агент, я хочу получать от DataCanvas сообщение о приеме данных, статусы обработки и сведения о результате, чтобы понимать, принят ли запрос, требуется ли уточнение и завершилась ли подготовка презентации.","Это позволяет другому агенту корректно вести общий сценарий и не терять состояние задачи; готовый результат доставляется пользователю по электронной почте.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-28","Проверяемость маршрута","P1","Как команда разработки, мы хотим сохранять проверяемую связь между источником запроса, результатом проверки входа, статусами обработки и итоговыми файлами, чтобы каждый запуск DataCanvas другим агентом был проверяемым и воспроизводимым.","Это позволит проверять качество, безопасность и воспроизводимость агентских запусков DataCanvas.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-29","Генерация презентации","P1","Как DataCanvas, я хочу сформировать редактируемый `PPTX`-файл презентации и нередактируемую `PDF`-копию из уже проверенных и нормализованных данных, чтобы пользователь получил рабочий материал без ручной сборки.","Это позволит пользователю получить рабочий материал без ручной сборки презентации и иметь нередактируемую копию для просмотра или передачи.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-30","Расширенная доставка","P2","Как DataCanvas, я хочу отправлять созданные файлы презентации по электронной почте в разрешенные рабочие контуры, чтобы пользователь получал результат там, где с ним можно безопасно работать.","Это позволит расширить доставку результата без ручной пересылки между рабочими контурами.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-31","Хранение результата","P2","Как DataCanvas, я хочу сохранять нередактируемую `PDF`-копию презентации в защищенном хранилище, чтобы результат можно было открыть по ссылке без повторной отправки файла.","Это позволит безопасно переиспользовать готовую копию результата после генерации.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-32","Передача ссылки","P2","Как вызывающий агент, я хочу получать от DataCanvas ссылку на нередактируемую `PDF`-копию, чтобы передать пользователю доступ к готовому результату в своем сценарии.","Это позволит другому агенту продолжить сценарий после подготовки презентации и не пересылать сам файл.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
"DC-ST-33","Уведомление в Лисе","P2","Как пользователь Лисы, я хочу получать ссылку на готовую презентацию и уведомление о готовности через сценарий, который ведут вызывающий агент и Лиса, чтобы открыть результат из текущего рабочего контекста.","Это позволит пользователю быстрее перейти от уведомления к готовой презентации без поиска письма или файла.","формулировка и приоритет приняты","ожидается оценка команды","CO-2026-002"
