"Issue Type","Summary","Description","Priority","Story ID","Target quarter","Comment"
"Story","DC-ST-23 — Передача запроса от другого агента","Пользовательская история:
Как вызывающий агент, я хочу передавать в DataCanvas запрос на подготовку презентации, чтобы DataCanvas мог принять задачу от другого агента и начать обработку по проверяемому входу.

Бизнес-ценность:
Это позволит быстро запускать подготовку презентации из агентского сценария без ручного переноса контекста.

Функциональная зона: Запуск другим агентом
Плановый период: 2026-Q3","P1","DC-ST-23","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 22.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 2
СА ЕФС: 0,5
PL ЕФС: 0,5
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 2
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 2
DEV AEF Containers: 2
QA: 1
AQA: 1
НТ: 0"
"Story","DC-ST-24 — Запуск в общем агентском сценарии","Пользовательская история:
Как пользователь, я хочу, чтобы DataCanvas мог запускаться в составе общего сценария с другими агентами, чтобы подготовка презентации начиналась из уже собранного контекста без повторного ввода данных.

Бизнес-ценность:
Это позволит использовать DataCanvas как часть сквозного сценария подготовки материалов.

Функциональная зона: Запуск другим агентом
Плановый период: 2026-Q3","P1","DC-ST-24","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 18.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 2
СА ЕФС: 0,5
PL ЕФС: 0,5
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 0
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 2
DEV AEF Containers: 2
QA: 1
AQA: 1
НТ: 0"
"Story","DC-ST-25 — Передача входного пакета","Пользовательская история:
Как вызывающий агент, я хочу передавать DataCanvas входной пакет с задачей, источником запроса, параметрами презентации и данными для определения получателя результата, чтобы DataCanvas получил полный контекст запуска в проверяемом формате.

Бизнес-ценность:
Это снижает риск неполного или неоднозначного запуска презентации и ошибочной доставки результата.

Функциональная зона: Входной контекст
Плановый период: 2026-Q3","P1","DC-ST-25","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 36.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 3
СА ЕФС: 0
PL ЕФС: 0
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 3
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 3
DEV AEF Containers: 3
QA: 3
AQA: 3
НТ: 0"
"Story","DC-ST-26 — Проверка входного пакета","Пользовательская история:
Как DataCanvas, я хочу проверять входной пакет от другого агента на достаточность, безопасность и отделение данных от инструкций, чтобы не начинать генерацию по неполному или недоверенному входу.

Бизнес-ценность:
Это защищает результат от неполных данных и от исполнения чужих инструкций как правил DataCanvas.

Функциональная зона: Проверка входа
Плановый период: 2026-Q3","P1","DC-ST-26","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 10.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 1
СА ЕФС: 0
PL ЕФС: 0
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 0
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 1
DEV AEF Containers: 1
QA: 1
AQA: 1
НТ: 0"
"Story","DC-ST-27 — Передача статусов обработки","Пользовательская история:
Как вызывающий агент, я хочу получать от DataCanvas сообщение о приеме данных, статусы обработки и сведения о результате, чтобы понимать, принят ли запрос, требуется ли уточнение и завершилась ли подготовка презентации.

Бизнес-ценность:
Это позволяет другому агенту корректно вести общий сценарий и не терять состояние задачи; готовый результат доставляется пользователю по электронной почте.

Функциональная зона: Статусы обработки
Плановый период: 2026-Q3","P1","DC-ST-27","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 26.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 1
СА ЕФС: 0,5
PL ЕФС: 0,5
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 3
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 2
DEV AEF Containers: 2
QA: 2
AQA: 2
НТ: 0"
"Story","DC-ST-28 — Проверяемость маршрута","Пользовательская история:
Как команда разработки, мы хотим сохранять проверяемую связь между источником запроса, результатом проверки входа, статусами обработки и итоговыми файлами, чтобы каждый запуск DataCanvas другим агентом был проверяемым и воспроизводимым.

Бизнес-ценность:
Это позволит проверять качество, безопасность и воспроизводимость агентских запусков DataCanvas.

Функциональная зона: Проверяемость маршрута
Плановый период: 2026-Q3","P1","DC-ST-28","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 17,4.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 2
СА ЕФС: 0
PL ЕФС: 0
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 0
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 2
DEV AEF Containers: 2
QA: 1
AQA: 1
НТ: 0,7"
"Story","DC-ST-29 — Формирование PPTX и PDF","Пользовательская история:
Как DataCanvas, я хочу сформировать редактируемый `PPTX`-файл презентации и нередактируемую `PDF`-копию из уже проверенных и нормализованных данных, чтобы пользователь получил рабочий материал без ручной сборки.

Бизнес-ценность:
Это позволит пользователю получить рабочий материал без ручной сборки презентации и иметь нередактируемую копию для просмотра или передачи.

Функциональная зона: Генерация презентации
Плановый период: 2026-Q3","P1","DC-ST-29","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 30.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 3
СА ЕФС: 0
PL ЕФС: 0
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 0
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 3
DEV AEF Containers: 3
QA: 3
AQA: 3
НТ: 0"
"Story","DC-ST-30 — Расширенная доставка файлов","Пользовательская история:
Как DataCanvas, я хочу отправлять созданные файлы презентации по электронной почте в разрешенные рабочие контуры, чтобы пользователь получал результат там, где с ним можно безопасно работать.

Бизнес-ценность:
Это позволит расширить доставку результата без ручной пересылки между рабочими контурами.

Функциональная зона: Расширенная доставка
Плановый период: 2026-Q3","P2","DC-ST-30","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 26.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 1
СА ЕФС: 0,5
PL ЕФС: 0,5
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 3
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 2
DEV AEF Containers: 2
QA: 2
AQA: 2
НТ: 0"
"Story","DC-ST-31 — Защищённое хранение PDF","Пользовательская история:
Как DataCanvas, я хочу сохранять нередактируемую `PDF`-копию презентации в защищенном хранилище, чтобы результат можно было открыть по ссылке без повторной отправки файла.

Бизнес-ценность:
Это позволит безопасно переиспользовать готовую копию результата после генерации.

Функциональная зона: Хранение результата
Плановый период: 2026-Q3","P2","DC-ST-31","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 27,4.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 1
СА ЕФС: 0,5
PL ЕФС: 0,5
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 3
СА Оркестратор: 0
DEV Оркестратор: 0
СА AEF Containers: 2
DEV AEF Containers: 2
QA: 2
AQA: 2
НТ: 0,7"
"Story","DC-ST-32 — Передача ссылки на PDF","Пользовательская история:
Как вызывающий агент, я хочу получать от DataCanvas ссылку на нередактируемую `PDF`-копию, чтобы передать пользователю доступ к готовому результату в своем сценарии.

Бизнес-ценность:
Это позволит другому агенту продолжить сценарий после подготовки презентации и не пересылать сам файл.

Функциональная зона: Передача ссылки
Плановый период: 2026-Q3","P2","DC-ST-32","2026-Q3","Ресурсная оценка реализации
Статус: текущая оценка принята владельцем процесса и Product Owner для экспорта в Jira.
Итоговая ПШЕ — трудозатраты в человеко-днях с коэффициентом 2: 28.
Роли, базовая оценка в человеко-днях: обозначения сохранены из Excel.
БА: 1
СА ЕФС: 0,5
PL ЕФС: 0,5
Дизайн: 0
ВН ЕФС: 0
Смежный сервис: 2
СА Оркестратор: 1
DEV Оркестратор: 1
СА AEF Containers: 2
DEV AEF Containers: 2
QA: 2
AQA: 2
НТ: 0"
